City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sinop,41.7711,34.8709,47.39,85,83,4.16,TR,1704726733
84,namibe,-15.1961,12.1522,77.67,71,60,12.95,AO,1704726734
85,talnakh,69.4865,88.3972,-14.26,96,100,9.4,RU,1704726734
86,hawaiian paradise park,19.5933,-154.9731,71.04,94,0,4.61,US,1704726734
87,sungai penuh,-2.0833,101.3833,66.69,98,100,1.25,ID,1704726735
88,fale old settlement,-9.3852,-171.2468,83.7,72,79,6.02,TK,1704726735
89,weno,7.4515,151.8468,82.35,71,100,23.02,FM,1704726735
90,severnoye,56.3491,78.3619,9.05,89,100,20.54,RU,1704726736
91,ust-nera,64.5667,143.2,-43.53,99,97,4.03,RU,1704726736
92,anshun,26.25,105.9333,46.85,93,100,2.59,CN,1704726736
93,stanley,54.868,-1.6985,36.28,80,75,5.75,GB,1704726739
94,constantia,44.1833,28.65,25.7,80,100,22.79,RO,1704726740
95,yuzhno-kurilsk,44.0306,145.8556,23.38,67,61,12.1,RU,1704726741
96,avarua,-21.2078,-159.775,77.05,94,40,11.5,CK,1704726745
97,kudahuvadhoo,2.6708,72.8944,82.71,74,100,11.18,MV,1704726747
98,whitehorse,60.7161,-135.0538,10.02,83,40,21.85,CA,1704726752
99,el calafate,-50.3408,-72.2768,50.76,47,16,8.97,AR,1704726749
100,tiksi,71.6872,128.8694,-32.39,97,73,9.46,RU,1704726753
101,bilibino,68.0546,166.4372,-23.73,99,100,3.24,RU,1704726755
102,kidal,18.4411,1.4078,88.93,8,47,9.66,ML,1704726759
103,touros,-5.1989,-35.4608,87.73,58,1,10.13,BR,1704726760
104,shelbyville,35.4834,-86.4603,41.72,80,0,3.44,US,1704726761
105,kuala tungkal,-0.8167,103.4667,78.19,89,79,4.68,ID,1704726761
106,arraial do cabo,-22.9661,-42.0278,85.86,70,0,19.57,BR,1704726761
107,tolanaro,-25.0319,46.9987,76.91,87,100,13.85,MG,1704726762
108,manicore,-5.8092,-61.3003,92.77,45,100,4.36,BR,1704726762
109,tinajo,29.0788,-13.7081,67.08,77,0,17.27,ES,1704726763
110,zakynthos,37.7914,20.8953,56.62,62,40,6.91,GR,1704726763
111,al khawr,25.7667,51.3167,67.75,60,0,8.93,QA,1704726763
112,wailua homesteads,22.0669,-159.378,70.59,91,100,14.97,US,1704726764
113,punta arenas,-53.15,-70.9167,55.51,50,75,24.16,CL,1704726764
114,durango,24.8333,-104.8333,50.72,21,52,28.16,MX,1704726517
115,lerwick,60.1545,-1.1494,41.0,63,100,5.82,GB,1704726764
116,iwanai,42.9744,140.5089,26.35,70,99,11.59,JP,1704726765
117,mahina,-17.5065,-149.489,76.77,88,20,3.44,PF,1704726766
118,guixi,28.2886,117.2133,47.86,92,99,2.77,CN,1704726766
119,chibougamau,49.9168,-74.3659,6.42,85,100,6.91,CA,1704726766
120,bredasdorp,-34.5322,20.0403,70.0,56,80,13.82,ZA,1704726767
121,santa cruz,-17.8,-63.1667,85.46,74,75,16.11,BO,1704726768
122,kone,-21.0595,164.8658,75.92,88,0,3.15,NC,1704726769
123,mohr,54.3528,9.7167,32.14,79,75,16.11,DE,1704726769
124,kingisepp,59.3733,28.6134,24.28,94,100,7.96,RU,1704726770
125,minas de marcona,-15.2119,-75.1103,70.66,65,86,11.23,PE,1704726770
126,karratha,-20.7377,116.8463,92.17,22,0,21.85,AU,1704726771
127,huarmey,-10.0681,-78.1522,76.73,73,79,8.63,PE,1704726771
128,bondo,3.8146,23.6866,97.05,15,45,0.25,CD,1704726771
129,horta,38.5333,-28.6333,62.24,72,40,13.8,PT,1704726772
130,kendari,-3.945,122.4989,76.21,96,97,5.88,ID,1704726772
131,kerikeri,-35.2268,173.9474,57.9,88,8,3.09,NZ,1704726773
132,nizhniy odes,63.6445,54.856,2.73,97,100,6.08,RU,1704726773
133,petropavlovka,50.6114,105.3196,-5.8,98,51,3.51,RU,1704726773
134,potam,27.6,-110.3833,52.99,48,16,9.48,MX,1704726774
135,afaahiti,-17.75,-149.2833,75.07,87,79,15.52,PF,1704726774
136,ribeira grande,38.5167,-28.7,63.0,72,40,13.8,PT,1704726774
137,st. john's,47.5649,-52.7093,26.78,87,100,20.71,CA,1704726708
138,ketchikan,55.3422,-131.6461,37.38,100,100,0.0,US,1704726775
139,aguas vermelhas,-15.7472,-41.46,73.11,92,100,4.61,BR,1704726775
140,monteagudo,-19.8167,-63.9833,92.79,40,12,3.83,BO,1704726775
141,qaqortoq,60.7167,-46.0333,39.33,63,68,12.03,GL,1704726776
142,acarau,-2.8856,-40.12,87.91,57,98,14.18,BR,1704726681
143,tete,-16.1564,33.5867,95.09,41,40,11.5,MZ,1704726776
144,zhaotong,27.3167,103.7167,41.74,86,0,4.05,CN,1704726777
145,nkove,-7.95,30.85,75.88,77,64,2.55,TZ,1704726778
146,novyy urgal,51.0736,132.5642,-27.31,100,43,1.79,RU,1704726778
147,jiuquan,39.7432,98.5174,27.34,38,0,5.73,CN,1704726778
148,portland,45.5234,-122.6762,42.75,95,100,12.66,US,1704726673
149,port elizabeth,-33.918,25.5701,69.31,82,100,6.91,ZA,1704726779
150,san pedro pochutla,15.7333,-96.4667,78.51,53,40,4.07,MX,1704726779
151,sinabang,2.4803,96.3801,79.18,87,100,3.76,ID,1704726779
152,labis,2.385,103.021,74.84,97,99,2.73,MY,1704726495
153,santa elena de uairen,4.6167,-61.1333,81.01,44,87,3.4,VE,1704726780
154,port alfred,-33.5906,26.891,67.17,96,100,1.99,ZA,1704726780
155,bereznik,62.8551,42.7072,19.71,93,100,10.02,RU,1704726781
156,enewetak,11.3474,162.3373,81.05,69,100,19.46,MH,1704726785
157,taoudenni,22.6783,-3.9836,83.86,15,0,6.58,ML,1704726786
158,hithadhoo,-0.6,73.0833,83.17,73,46,12.33,MV,1704726786
159,tyup,42.7276,78.3648,22.86,74,29,5.79,KG,1704726786
160,susuman,62.7833,148.1667,-44.01,99,97,1.01,RU,1704726787
161,brookings,44.3114,-96.7984,16.45,91,100,10.36,US,1704726738
162,les anglais,18.3054,-74.2197,81.34,62,11,3.0,HT,1704726729
163,hadibu,12.65,54.0333,75.52,66,92,14.76,YE,1704726788
164,khandyga,62.6667,135.6,-52.29,100,99,1.7,RU,1704726788
165,hammerfest,70.6634,23.6821,30.65,93,75,3.44,NO,1704726788
166,nili,33.7218,66.1302,31.12,58,2,4.12,AF,1704726794
167,happy valley-goose bay,53.3168,-60.3315,14.31,67,75,17.27,CA,1704726794
168,lebyazh'ye,55.2689,66.4947,-5.22,93,100,18.63,RU,1704726794
169,tofol,5.3248,163.0078,82.27,79,100,21.99,FM,1704726795
170,shimoda,34.6667,138.95,44.73,56,5,5.3,JP,1704726642
171,georgetown,5.4112,100.3354,80.53,89,40,0.0,MY,1704726543
172,nikolayevsk-on-amure,53.1406,140.73,-13.29,99,97,4.0,RU,1704726796
173,axim,4.8699,-2.2405,85.35,69,27,9.28,GH,1704726796
174,midland,31.9974,-102.0779,42.85,33,40,33.38,US,1704726714
175,santa luzia,-19.7697,-43.8514,85.28,55,75,5.75,BR,1704726797
